1n,2n,3n,4n,5n,6r,7r,8r,9r,10r,11r,12n,13n,14n,15n,16n,17n,18n,19n,20n,21n,22n,23n,24n,25n,26n,27n,28n,29n,30n,31n,32n,33n,34n,35n,36r,37r,38r,39r,40r,41r,42r,43r,44r,45r,46r,47r,48r,49r,50r,51r,52r,53r,54r,55r,56r,57r,58r,59r,60r,61r,62r,63r,64r,65r,66r,67r,68r,69r,70r,71r,72r,73r,74r,75r,76r,77r,78r,79r,80r,81r,82r,83r,84n,85n,86n,87n,88n,89n,90r,91r,92r,93r,94r,95r,96r,97r,98r,99r,100r,101r
0.02290242,0.6625667,0.03435103,0.1481389,0.4933785,0.6719181,0.6155507,0.6259755,0.6470636,0.5781825,0.6442002,0.6096215,0.8242922,0.4589674,0.6612078,0.6572114,0.5364674,0.585394,0.7054743,0.5116645,0.6846974,0.5184329,0.6670294,0.1435105,0.1007254,0.1632735,0.2380466,0.04426358,0.2029436,0.5040244,0.4655287,0.3928849,0.7103897,0.8671119,0.4902252,0.4961255,0.5271907,0.522112,0.6874632,0.5231035,0.6229869,0.36504,0.7160763,0.4188989,0.4007845,0.5417765,0.5971542,0.01077543,0.08817432,0.3081014,0.4934504,0.5485159,0.5557426,0.4128565,0.4612514,0.4323598,0.5006915,0.7239686,0.548318,0.3328469,0.4921057,0.62981,0.4757951,0.5807467,0.2840116,0.1599641,0.4819468,0.7144803,0.1511993,0.3430402,0.2472046,0.3183503,0.5090507,0.3467447,0.58139,0.6359889,0.6185927,0.6133453,0.6846415,0.6427979,0.1417055,0.6805182,0.4594803,0.5862405,0.4859325,0.5856321,0.5460314,0.4391644,0.7462385,0.24974,0.084389,0.6190494,0.7485393,0.5885789,0.6791753,0.7444928,0.5873853,0.5716493,0.7323617,0.7437352,0.5305776
0.02473182,0.6581068,0.03312944,0.146617,0.4784245,0.6679904,0.6100939,0.6200357,0.6411388,0.5741258,0.6390034,0.6163497,0.817611,0.472893,0.6615601,0.6583664,0.5363689,0.585385,0.7076725,0.5204693,0.6844298,0.5239755,0.6697498,0.1528022,0.1169082,0.158749,0.2587817,0.02800922,0.2032803,0.5237253,0.4582157,0.3993778,0.7086673,0.8660125,0.4891232,0.4962692,0.5279613,0.5229332,0.6896078,0.5192094,0.6188985,0.3653577,0.7187322,0.4201513,0.3992372,0.541364,0.5989621,0.01552934,0.09380721,0.3091297,0.4865655,0.5463891,0.5601422,0.4098105,0.4563622,0.4348125,0.4922856,0.7071947,0.5460339,0.3661061,0.4870997,0.6218433,0.4790422,0.5975003,0.2831154,0.1375299,0.4866187,0.7039206,0.1496632,0.3451369,0.2588897,0.3065024,0.5065633,0.3527401,0.5800787,0.6425664,0.6216577,0.6198923,0.6920622,0.6641017,0.1275786,0.6867503,0.4574871,0.5861101,0.4855172,0.5662525,0.5353935,0.5275089,0.7511202,0.2348019,0.09194771,0.6039147,0.7527309,0.5873135,0.6852085,0.7413766,0.5853519,0.564472,0.7329221,0.7433258,0.5320951
0.02697947,0.6535906,0.03142119,0.1488826,0.4860358,0.6699031,0.6212722,0.623157,0.6348093,0.5762021,0.6337363,0.6131215,0.8108863,0.4656199,0.6611258,0.655815,0.5363508,0.5854173,0.7103781,0.5037128,0.6842477,0.5134171,0.6742252,0.148374,0.1323699,0.1539205,0.2789691,0.03513844,0.2060836,0.5146539,0.4619044,0.4075424,0.7097359,0.8664697,0.4868043,0.4961989,0.5278574,0.5237499,0.6859904,0.5270385,0.6210495,0.3708339,0.7192106,0.421425,0.3980826,0.5407634,0.6001211,0.008916983,0.09242198,0.3081699,0.4900733,0.5506843,0.5579505,0.3960507,0.4513526,0.4310878,0.4818169,0.7415977,0.5435517,0.3926908,0.4791041,0.6263797,0.4777207,0.6129003,0.2807074,0.1806368,0.4922788,0.7210597,0.1462404,0.3431858,0.2397287,0.2966324,0.5041345,0.3588611,0.580734,0.6493516,0.6244326,0.6165821,0.6758557,0.6821013,0.1596118,0.6838122,0.4553062,0.5859526,0.4909436,0.6037654,0.5407926,0.5094065,0.755478,0.2186388,0.07711328,0.6168184,0.754496,0.5904045,0.6763798,0.7384766,0.5829825,0.5680496,0.7330597,0.7436309,0.5275549
0.03090863,0.6491353,0.03003426,0.1467104,0.451634,0.6665416,0.6384151,0.6084245,0.6674694,0.5721279,0.6542805,0.6059598,0.7983137,0.4804637,0.6612073,0.6592752,0.5361596,0.5851158,0.6994566,0.5402083,0.6840299,0.5079455,0.6642968,0.1389055,0.08319573,0.1487926,0.315762,0.01524267,0.2128055,0.5342487,0.455265,0.4173695,0.7072642,0.8605431,0.487794,0.4997717,0.527531,0.5242516,0.693146,0.5309588,0.6313723,0.379454,0.7149885,0.4237717,0.3954362,0.5401101,0.5941702,0.01514853,0.08006733,0.3067481,0.4998501,0.5525807,0.5537537,0.3943604,0.4416325,0.4398395,0.4733219,0.7545947,0.5344947,0.4540327,0.4731253,0.6132879,0.4765701,0.6388751,0.2762739,0.08837891,0.4699205,0.6833955,0.1379868,0.3446974,0.2312742,0.2786984,0.4980698,0.3769613,0.5794395,0.6640851,0.6081166,0.6233035,0.6445827,0.6970664,0.2007577,0.668408,0.4486606,0.5858513,0.5058979,0.6377617,0.5252549,0.5646478,0.7621725,0.1739222,0.06174538,0.6007294,0.732823,0.5906076,0.6643832,0.7355779,0.5754883,0.5752679,0.7327126,0.742071,0.5411488
0.03074137,0.6401746,0.02740472,0.1473212,0.4647338,0.6642649,0.6326992,0.612745,0.6525199,0.5679486,0.6493077,0.6019867,0.7983841,0.4876593,0.6606477,0.660217,0.5362341,0.584807,0.7012516,0.5300416,0.6837747,0.5018711,0.6638597,0.1343466,0.06433835,0.1438854,0.2978561,0.01241042,0.2174944,0.5301978,0.451436,0.4283014,0.705571,0.8569767,0.4861664,0.5034789,0.5272167,0.5242065,0.6915101,0.5350722,0.6321582,0.3765453,0.7141045,0.4253995,0.3915066,0.5385733,0.5952985,0.01049521,0.0740821,0.3068054,0.5026148,0.554612,0.5523038,0.3946824,0.4472511,0.4407483,0.4669473,0.767077,0.5407543,0.4823853,0.4827554,0.6167154,0.4790557,0.648876,0.2735105,0.06246947,0.4774057,0.6919045,0.1422299,0.3371595,0.2338992,0.2832443,0.4946962,0.3708652,0.5789237,0.6564731,0.6117936,0.626492,0.6671685,0.7069572,0.2244808,0.672703,0.4509417,0.5857781,0.5051141,0.6210926,0.5302807,0.5462763,0.7640504,0.2029377,0.06880825,0.583046,0.7418283,0.5889465,0.6678504,0.7301409,0.5779725,0.5790276,0.729647,0.7409053,0.5347345
0.03409676,0.6446352,0.02906812,0.1465092,0.44996,0.665326,0.6269351,0.6166031,0.6751274,0.5701188,0.6590479,0.5979781,0.8031089,0.4949357,0.6610413,0.6612235,0.5361414,0.5846338,0.703289,0.5506452,0.6835048,0.4967565,0.662984,0.1299039,0.04728204,0.1387649,0.3326643,0.01802677,0.2157868,0.535995,0.4530836,0.4411748,0.7038299,0.8644264,0.4865381,0.4961061,0.5268079,0.523805,0.6943229,0.5391133,0.6289839,0.3840215,0.7105397,0.4226048,0.3940106,0.5394063,0.593126,0.01461993,0.08411911,0.3055077,0.4967221,0.5565196,0.5511282,0.3862872,0.4443197,0.4374409,0.4600403,0.7777173,0.5377561,0.4213562,0.4757582,0.6073236,0.4782207,0.6271507,0.2628818,0.1134366,0.4736688,0.6774377,0.1335077,0.3303767,0.2314026,0.2888679,0.5012445,0.3650043,0.5782697,0.6713317,0.6151675,0.6296772,0.6698949,0.7163181,0.1795008,0.6768077,0.4532676,0.5858551,0.5019383,0.6538743,0.5200045,0.583178,0.7592414,0.1876999,0.05287491,0.5928155,0.7238969,0.5875513,0.6710781,0.7328411,0.5806221,0.5826233,0.7315912,0.7426804,0.5377867
0.04129153,0.6354254,0.03102412,0.1467206,0.4712551,0.6633861,0.6484884,0.597968,0.662647,0.5625193,0.6681541,0.5845916,0.7944124,0.508265,0.661724,0.6649615,0.5361233,0.5843822,0.6972795,0.5616321,0.682829,0.486152,0.6629745,0.1251599,0.01374796,0.1270052,0.3535148,0.03642198,0.2169811,0.5263718,0.4488183,0.4844,0.7018703,0.8523578,0.4881542,0.50349,0.527272,0.5231869,0.6950786,0.5438538,0.6268686,0.3987934,0.7095791,0.4268148,0.3907172,0.537221,0.5895286,0.01357123,0.06938148,0.3038965,0.5080442,0.5584096,0.5489224,0.3831311,0.4376514,0.445248,0.4478745,0.7888807,0.5278183,0.5620573,0.4668398,0.5834352,0.4734303,0.6574863,0.2637245,0.03609155,0.4647737,0.6568624,0.1295676,0.3220125,0.235973,0.2739658,0.4915651,0.38971,0.5777231,0.6784239,0.5961215,0.6331239,0.636837,0.7217875,0.304634,0.6519846,0.4460724,0.5859042,0.4955062,0.6681407,0.5145702,0.6009836,0.7650669,0.1626904,0.04605724,0.573557,0.709774,0.5869851,0.655957,0.7272874,0.5727534,0.5934625,0.7270364,0.7395662,0.5525225
0.04483222,0.6305175,0.03561609,0.1463871,0.449547,0.6612093,0.643743,0.5920166,0.6783455,0.5654123,0.672452,0.5935987,0.7880694,0.5020291,0.6615039,0.663551,0.5360305,0.5844725,0.6955378,0.5845929,0.6832712,0.4915387,0.6627024,0.115957,0.02719402,0.121467,0.3599097,0.02538828,0.2131852,0.5313433,0.4469599,0.4549623,0.6975181,0.8497791,0.4920964,0.5036984,0.5270005,0.5214029,0.6955287,0.548315,0.6247726,0.392879,0.7086341,0.429571,0.3927058,0.5378749,0.5908073,0.01056314,0.06402632,0.3037192,0.5054939,0.5601403,0.5500218,0.3810596,0.4311036,0.4477423,0.4535271,0.7873867,0.5312715,0.5095891,0.4635106,0.6033275,0.4701148,0.6636623,0.2411576,0.02116574,0.4585567,0.6275098,0.1307919,0.3118132,0.2564247,0.2746292,0.4881985,0.3962296,0.5767528,0.6853218,0.6042462,0.6365769,0.6214762,0.7248074,0.2495868,0.6637717,0.4406158,0.5859202,0.4990699,0.6824636,0.5091416,0.6618552,0.764567,0.1437308,0.03434148,0.5663443,0.7180442,0.5912891,0.6609744,0.7220351,0.5699686,0.5897942,0.7217487,0.7383403,0.5485843
0.0370161,0.6253705,0.03228015,0.1466338,0.4491673,0.6622723,0.652742,0.6033815,0.6823891,0.559222,0.6636391,0.5890777,0.7893506,0.5136402,0.6617798,0.6624075,0.5360427,0.5841537,0.6936808,0.5730237,0.6831006,0.4812007,0.6619575,0.1206838,0.0195587,0.1334876,0.3445844,0.04461299,0.207497,0.5346947,0.4501725,0.4701962,0.6997704,0.8486671,0.4891067,0.5078368,0.5278853,0.5205407,0.6954746,0.5521487,0.6305544,0.3888113,0.7085063,0.4282624,0.396581,0.5365739,0.5920147,0.01235506,0.0668669,0.3044155,0.5104439,0.5618548,0.5480636,0.3835068,0.4339714,0.4438467,0.4427675,0.7851613,0.5240989,0.538168,0.4700847,0.6022438,0.4662732,0.666898,0.2474583,0.01005433,0.451506,0.6469835,0.1281075,0.3010691,0.2452376,0.2791709,0.4846142,0.3832706,0.5771738,0.6920682,0.6001633,0.6401047,0.6479715,0.7256514,0.275755,0.6587493,0.4433928,0.5858063,0.5035506,0.6959645,0.5035624,0.6176345,0.763392,0.1529611,0.04043753,0.5597271,0.688631,0.5905152,0.657579,0.7246185,0.56687,0.5862688,0.7245355,0.7378024,0.5448005
0.05163848,0.6074096,0.03951761,0.1449871,0.4506891,0.6587027,0.6623334,0.5857888,0.6807436,0.5522026,0.6766717,0.5755147,0.7831297,0.5179731,0.661363,0.6659465,0.5359437,0.5838393,0.6896846,0.6208307,0.6826721,0.463968,0.6610821,0.1069138,0.08273846,0.1104587,0.3610706,0.06866951,0.1941134,0.5204645,0.4420827,0.5172293,0.692498,0.8448548,0.5014896,0.5123318,0.5272138,0.5195338,0.6923198,0.5633878,0.6321058,0.4093111,0.7080532,0.4305797,0.3888333,0.5351338,0.5880602,0.01348974,0.06418531,0.3032896,0.5146453,0.5635196,0.5469851,0.377871,0.4239432,0.4646461,0.4370135,0.7878467,0.5165696,0.6047044,0.4590177,0.5686029,0.4571858,0.6684969,0.2169929,0.0433169,0.4427828,0.5707185,0.1258068,0.2759202,0.2876724,0.2811543,0.476733,0.4164525,0.5756045,0.7049005,0.5874082,0.6477805,0.5963166,0.7233146,0.394475,0.6271963,0.4317911,0.5859821,0.5059791,0.7210581,0.4912862,0.6480604,0.754573,0.1249473,0.0311975,0.5507268,0.650466,0.5601435,0.6555188,0.7125683,0.563521,0.6010177,0.7168709,0.7366746,0.5564728
